Lost Patrol The,0025423,1934,0,0,0
39 Steps The,0026029,1935,3,0,0
Top Hat,0027125,1935,2,0,0
Roberta,0026942,1935,3,1,0
A Night At The Opera,0026778,1935,1,0,0
Riverside Murder The,0026939,1935,2,0,0
Anna Karenina,0026071,1935,2,1,0
Lady in Scarlet The,0026599,1935,2,0,0
Naughty Marietta,0026768,1935,3,1,0
Mutiny on the Bounty,0026752,1935,1,0,0
Magnificent Obsession,0026667,1935,3,1,0
Bride of Frankenstein The,0026138,1935,3,0,0
Mad Love,0026663,1935,2,0,0
Mr. Deeds Goes to Town,0027996,1936,3,0,0
San Francisco,0028216,1936,1,0,0
Revolt of the Zombies,0028174,1936,0,0,0
Romeo and Juliet,0028203,1936,3,1,0
Great Ziegfeld The,0027698,1936,3,0,0
Il caso Valdemar,3427056,1936,0,0,0
Fury,0027652,1936,2,1,0
Charge of the Light Brigade The,0027438,1936,1,0,0
Dracula&#39;s Daughter,0027545,1936,3,1,0
Bullets or Ballots,0027407,1936,3,0,0
Earthworm Tractors,0027562,1936,1,0,0
Petrified Forest The,0028096,1936,3,0,0
Mandarin Mystery The,0029207,1936,3,0,0
Only Son The,0027752,1936,3,0,0
Camille,0028683,1936,3,1,0
Osaka Elegy,0028021,1936,3,1,0
Secret Agent,0028231,1936,3,0,0
Swing Time,0028333,1936,1,0,0
Born to Dance,0027387,1936,3,1,0
Modern Times,0027977,1936,0,0,0
Wife vs. Secretary,0028505,1936,2,0,0
Pennies from Heaven,0028092,1936,3,0,0
Theodora Goes Wild,0028355,1936,3,1,0
My Man Godfrey,0028010,1936,2,0,0
Sabotage,0028212,1936,3,1,0
These Three,0028356,1936,2,1,0
Snow White and the Seven Dwarfs,0029583,1937,3,1,0
A Day at the Races,0028772,1937,2,0,0
Stage Door,0029604,1937,3,1,0
Parnell,0029377,1937,2,0,0
Girl Was Young The,0029811,1937,3,1,0
Marked Woman,0029217,1937,3,1,0
Knight Without Armor,0029087,1937,2,1,0
Murder at the Baskervilles (Silver Blaze),0029565,1937,1,0,0
Shall We Dance,0029546,1937,1,0,0
Conquest,0028739,1937,2,1,0
Lost Horizon,0029162,1937,2,0,0
Make Way for Tomorrow,0029192,1937,3,0,0
Nothing Sacred,0029322,1937,0,1,0
Prisoner of Zenda The,0029442,1937,1,0,0
Topper,0029682,1937,2,1,0
Pepe le Moko,0029453,1937,2,0,0
Stella Dallas,0029608,1937,3,1,0
Awful Truth The,0028597,1937,3,1,0
Holiday,0030241,1938,3,1,0
Jezebel,0030287,1938,2,1,0
Bluebeard&#39;s Eighth Wife,0029929,1938,2,1,0
Mr. Wong Detective,0030473,1938,1,0,0
Mad Miss Manton The,0030396,1938,3,1,0
Dawn Patrol The,0030044,1938,0,0,0
Angels with Dirty Faces,0029870,1938,1,0,0
Carefree,0029971,1938,2,0,0
Sisters The,0030755,1938,2,0,0
Boys Town,0029942,1938,0,0,0
Bringing Up Baby,0029947,1938,3,1,0
Adventures of Robin Hood The,0029843,1938,2,0,0
Four Daughters,0030149,1938,3,0,0
Lady Vanishes The,0030341,1938,3,1,0
Baker&#39;s Wife The,0030127,1938,1,0,0
Essex and Elizabeth,0031826,1939,2,0,0
Hunchback of Notre Dame The,0031455,1939,0,0,0
Jesse James,0031507,1939,2,0,0
Nancy Drew... Reporter,0031709,1939,3,1,0
Of Mice and Men,0031742,1939,1,0,0
Dodge City,0031235,1939,2,0,0
Mr. Wong in Chinatown,0031680,1939,1,0,0
Adventures of Sherlock Holmes The,0031022,1939,3,0,0
Le jour se l&egrave;ve,0031514,1939,2,0,0
Mr. Smith Goes to Washington,0031679,1939,2,0,0
Goodbye Mr. Chips,0031385,1939,2,0,0
Destry Rides Again,0031225,1939,3,0,0
Dark Victory,0031210,1939,3,1,0
Young Mr. Lincoln,0032155,1939,2,0,0
Stagecoach,0031971,1939,3,1,0
At the Circus,0031060,1939,2,0,0
Story of Alexander Graham Bell The,0031981,1939,2,0,0
Babes in Arms,0031066,1939,3,0,0
Jamaica Inn,0031505,1939,3,0,0
Wizard of Oz The,0032138,1939,3,1,0
Ninotchka,0031725,1939,3,1,0
Flying Deuces The,0031322,1939,0,0,0
Women The,0032143,1939,3,1,0
Rules of the Game The,0031885,1939,3,1,0
Gone with the Wind,0031381,1939,3,1,0
Juarez,0031516,1939,2,0,0
Drums Along the Mohawk,0031252,1939,2,1,0
Gorilla The,0031387,1939,3,0,0
Wuthering Heights,0032145,1939,2,1,0
His Girl Friday,0032599,1940,3,0,0
Comrade X,0032349,1940,2,0,0
Pride and Prejudice,0032943,1940,3,0,0
Grapes of Wrath The,0032551,1940,3,0,0
Dance Girl Dance,0032376,1940,3,1,1
Thief of Bagdad The,0033152,1940,0,0,0
A Chump at Oxford,0032339,1940,0,0,0
Anne Of Windy Poplars,0032211,1940,3,1,0
Rebecca,0032976,1940,3,0,0
Return of Frank James The,0032983,1940,0,0,0
Primrose Path,0032946,1940,3,1,0
Chamber of Horrors / Door with the Seven Locks,0032406,1940,2,0,0
Philadelphia Story The,0032904,1940,3,1,0
Strange Cargo,0033105,1940,0,1,0
All This and Heaven Too,0032194,1940,2,1,0
Ape The,0032215,1940,3,0,0
Mortal Storm The,0032811,1940,3,1,0
Pinocchio,0032910,1940,1,0,0
Santa Fe Trail,0033021,1940,1,0,0
Sea Hawk The,0033028,1940,3,0,0
Great Dictator The,0032553,1940,3,0,0
Boom Town,0032273,1940,1,0,0
Letter The,0032701,1940,2,1,0
Fantasia,0032455,1940,0,0,0
Foreign Correspondent,0032484,1940,1,0,0
Shop Around the Corner The,0033045,1940,3,1,0
Gaslight,0031359,1940,3,0,0
Last Alarm The,0032690,1940,3,0,0
Citizen Kane,0033467,1941,1,0,0
Men of Boys Town,0033902,1941,1,0,0
Sullivan&#39;s Travels,0034240,1941,3,0,0
Shanghai Gesture The,0034175,1941,3,1,0
Meet John Doe,0033891,1941,3,1,0
Maltese Falcon The,0033870,1941,1,0,0
Devil and Miss Jones The,0033533,1941,3,1,0
High Sierra,0033717,1941,1,1,0
Lady Eve The,0033804,1941,2,1,0
Cheers for Miss Bishop,0033459,1941,3,1,0
49th Parallel,0033627,1941,0,0,0
Dumbo,0033563,1941,2,0,0
Buck Privates,0033436,1941,3,0,0
Hold That Ghost,0033723,1941,3,0,0
Ladies In Retirement,0033802,1941,1,1,0
Murder by Invitation,0033928,1941,3,0,0
Mr. Bug Goes to Town,0033727,1941,1,0,0
